painter/artist,絵かき/絵描き/絵書き/絵描/えかき
nosebleed/Epistaxis,鼻血/鼻血/はなぢ
pig's snout/nose resembling a pig's snout,豚鼻/ブタ鼻/ぶたばな
nasal mucus/dripping nose,鼻水/はな水/洟水/はなみず
imagination/guess,想像/そうぞう
to close one's eyes,目を閉じる/めをとじる
to float/to be suspended,浮かぶ/浮ぶ/泛ぶ/泛かぶ/うかぶ
field of flowers/flower garden,花畑/はなばたけ
total darkness/pitch dark,真っ暗/真暗/まっ暗/まっくら
to hide/to conceal,隠す/隠くす/匿す/隱す/かくす
to hang up (e.g. a coat - a picture on the wall)/to let hang,掛ける/懸ける/かける
imitating/copying,真似/まね
one more/another,今一つ/いま一つ/今ひとつ/いまひとつ
(real) ability/true strength,実力/じつりょく
bill/bill of sale,付け/附け/つけ
artistic,芸術的/げいじゅつてき
discovery/detection,発見/はっけん
masterpiece/best work,傑作/けっさく
serious/earnest,真剣/しんけん
aeroplane/airplane,飛行機/ひこうき
middle/centre,真ん中/まん中/まんなか
log,丸太/まるた
body/trunk,胴体/どうたい
feather/wing,羽/羽根/羽/はね
kindergarten pupil/kindergartener,園児/えんじ
average/mean,平均/平均/へいきん
superior/excellent,優秀/ゆうしゅう
to be in high spirits/to be full of vigor (vigour),張り切る/はりきる
